id,start,end,yummy,healthy,ingredients
0,2015-10-14 08:48:00,2015-10-14 08:55:00,8,10,fruits|nuts
1,2015-10-14 13:22:00,2015-10-14 13:31:00,5,3,bread
2,2015-10-14 13:33:00,2015-10-14 13:58:00,7,8,salad|fruits
3,2015-10-14 20:18:00,2015-10-14 21:15:00,4,6,seafood
4,2015-10-15 09:08:00,2015-10-15 09:16:00,8,9,yogurt
5,2015-10-15 12:15:00,2015-10-15 12:40:00,9,8,sandwich
6,2015-10-15 17:37:00,2015-10-15 17:38:00,10,1,cupcake
7,2015-10-15 20:10:00,2015-10-15 20:51:00,9,7,claypot
8,2015-10-16 09:15:00,2015-10-16 09:22:00,7,9,yogurt|nuts
9,2015-10-16 12:40:00,2015-10-16 13:11:00,9,8,seafood
10,2015-10-16 20:46:00,2015-10-16 21:09:00,9,7,noodles
