City,Chinese,Province,Prefecture,Founded,Population
Beijing,北京市,municipal,none,1949-10-01,19295000
Chongqing,重庆市,municipal,none,1997-03-14,7457589
Shanghai,上海市,municipal,none,1949-10-01,22265426
Tianjin,天津市,municipal,none,1967-01-02,11090314
Hong Kong,香港特别行政区,autonomous,none,1997-07-01,1000000
Macau,澳门特别行政区,autonomous,none,1999-12-20,1000000
Anqing,安庆市,Anhui,direct administration,1979-11-04,780514
Bengbu,蚌埠市,Anhui,direct administration,1949-10-01,972784
Bozhou,亳州市,Anhui,direct administration,2000-05-21,1409436
Chaohu,巢湖市,Anhui,Hefei,2011-07-14,1000000
Chizhou,池州市,Anhui,direct administration,2000-06-25,1000000
Chuzhou,滁州市,Anhui,direct administration,1992-12-20,562321
Fuyang,阜阳市,Anhui,direct administration,1996-01-01,1768947
Hefei,合肥市,Anhui,direct administration,1949-10-01,3352076
Huaibei,淮北市,Anhui,direct administration,1960-04-16,1113321
Huainan,淮南市,Anhui,direct administration,1952-06-02,1666826
Huangshan,黄山市,Anhui,direct administration,1987-11-27,1000000
Jieshou,界首市,Anhui,Fuyang,1989-09-27,1000000
Lu'an,六安市,Anhui,direct administration,1999-09-02,1778583
Ma'anshan,马鞍山市,Anhui,direct administration,1958-10-22,741531
Mingguang,明光市,Anhui,Chuzhou,1994-05-31,1000000
Ningguo,宁国市,Anhui,Xuancheng,1997-03-11,1000000
Suzhou,宿州市,Anhui,direct administration,1998-12-06,1647642
Tianchang,天长市,Anhui,Chuzhou,1993-09-18,1000000
Tongcheng,桐城市,Anhui,Anqing,1996-08-20,1000000
Tongling,铜陵市,Anhui,direct administration,1971-12-11,1000000
Wuhu,芜湖市,Anhui,direct administration,1972-12-30,1307042
Xuancheng,宣城市,Anhui,direct administration,2000-06-25,1000000
Changle,长乐市,Fujian,Fuzhou,1994-02-18,1000000
Fu'an,福安市,Fujian,Ningde,1989-11-13,1000000
Fuding,福鼎市,Fujian,Ningde,1995-10-13,1000000
Fuqing,福清市,Fujian,Fuzhou,1990-12-26,1234838
Fuzhou,福州市,Fujian,direct administration,1949-10-01,2921763
Jian'ou,建瓯市,Fujian,Nanping,1992-10-20,1000000
Jinjiang,晋江市,Fujian,Quanzhou,1992-03-06,1000000
Longhai,龙海市,Fujian,Zhangzhou,1993-05-12,1000000
Longyan,龙岩市,Fujian,direct administration,1996-11-20,1000000
Nan'an,南安市,Fujian,Quanzhou,1993-05-12,1000000
Nanping,南平市,Fujian,direct administration,1994-09-05,467875
Ningde,宁德市,Fujian,direct administration,1999-11-14,1000000
Putian,莆田市,Fujian,direct administration,1983-09-09,1953801
Quanzhou,泉州市,Fujian,direct administration,1985-05-14,1398427
Sanming,三明市,Fujian,direct administration,1983-04-28,1000000
Shaowu,邵武市,Fujian,Nanping,1983-08-17,1000000
Shishi,石狮市,Fujian,Quanzhou,1987-12-17,1000000
Wuyishan,武夷山市,Fujian,Nanping,1989-08-21,1000000
Xiamen,厦门市,Fujian,direct administration,1949-10-01,3531347
Yong'an,永安市,Fujian,Sanming,1984-09-12,1000000
Zhangping,漳平市,Fujian,Longyan,1990-08-15,1000000
Zhangzhou,漳州市,Fujian,direct administration,1985-05-14,705649
Baiyin,白银市,Gansu,direct administration,1985-05-14,1000000
Dingxi,定西市,Gansu,direct administration,2003-04-04,1000000
Dunhuang,敦煌市,Gansu,Jiuquan,1987-08-21,1000000
Hezuo,合作市,Gansu,Gannan,1996-05-28,1000000
Jiayuguan,嘉峪关市,Gansu,direct administration,1971-09-10,1000000
Jinchang,金昌市,Gansu,direct administration,1981-02-09,1000000
Jiuquan,酒泉市,Gansu,direct administration,2002-06-18,1000000
Lanzhou,兰州市,Gansu,direct administration,1949-10-01,2492325
Linxia,临夏市,Gansu,Linxia,1983-08-31,1000000
Longnan,陇南市,Gansu,direct administration,2004-01-11,1000000
Pingliang,平凉市,Gansu,direct administration,2002-06-02,1000000
Qingyang,庆阳市,Gansu,direct administration,2002-06-22,1000000
Tianshui,天水市,Gansu,direct administration,1985-07-08,1197174
Wuwei,武威市,Gansu,direct administration,2001-05-09,1010295
Yumen,玉门市,Gansu,Jiuquan,1961-11-21,1000000
Zhangye,张掖市,Gansu,direct administration,2002-03-01,1000000
Chaozhou,潮州市,Guangdong,direct administration,1991-12-07,452472
Dongguan,东莞市,Guangdong,direct administration,1988-01-07,8220937
Enping,恩平市,Guangdong,Jiangmen,1994-02-28,1000000
Foshan,佛山市,Guangdong,direct administration,1975-11-22,1000000
Gaozhou,高州市,Guangdong,Maoming,1993-06-08,1000000
Guangzhou,广州市,Guangdong,direct administration,1954-06-19,11070654
Heshan,鹤山市,Guangdong,Jiangmen,1993-11-08,1000000
Heyuan,河源市,Guangdong,direct administration,1988-01-07,1000000
Huazhou,化州市,Guangdong,Maoming,1994-07-04,1178873
Huizhou,惠州市,Guangdong,direct administration,1988-01-07,2344507
Jiangmen,江门市,Guangdong,direct administration,1975-11-22,1822640
Jieyang,揭阳市,Guangdong,direct administration,1991-12-07,1000000
Kaiping,开平市,Guangdong,Jiangmen,1993-01-05,1000000
Lechang,乐昌市,Guangdong,Shaoguan,1994-04-28,1000000
Leizhou,雷州市,Guangdong,Zhanjiang,1994-04-26,1000000
Lianjiang,廉江市,Guangdong,Zhanjiang,1993-12-10,1000000
Lianzhou,连州市,Guangdong,Qingyuan,1994-04-22,1000000
Lufeng,陆丰市,Guangdong,Shanwei,1995-01-19,1000000
Luoding,罗定市,Guangdong,Yunfu,1993-04-08,1000000
Maoming,茂名市,Guangdong,direct administration,1975-11-22,1217715
Meizhou,梅州市,Guangdong,direct administration,1988-01-07,1000000
Nanxiong,南雄市,Guangdong,Shaoguan,1996-06-17,1000000
Puning,普宁市,Guangdong,Jieyang,1993-04-06,1000000
Qingyuan,清远市,Guangdong,direct administration,1988-01-07,1000000
Shantou,汕头市,Guangdong,direct administration,1975-11-22,1346708
Shanwei,汕尾市,Guangdong,direct administration,1988-01-07,1000000
Shaoguan,韶关市,Guangdong,direct administration,1975-11-22,1000000
Shenzhen,深圳市,Guangdong,direct administration,1979-03-05,10357938
Sihui,四会市,Guangdong,Zhaoqing,1993-11-25,1000000
Taishan,台山市,Guangdong,Jiangmen,1992-04-17,1000000
Wuchuan,吴川市,Guangdong,Zhanjiang,1994-05-26,947499
Xingning,兴宁市,Guangdong,Meizhou,1994-06-06,1000000
Xinyi,信宜市,Guangdong,Maoming,1995-09-11,1000000
Yangchun,阳春市,Guangdong,Yangjiang,1994-05-05,1000000
Yangjiang,阳江市,Guangdong,direct administration,1988-01-07,676858
Yingde,英德市,Guangdong,Qingyuan,1994-01-12,1000000
Yunfu,云浮市,Guangdong,direct administration,1994-04-05,1000000
Zhanjiang,湛江市,Guangdong,direct administration,1975-11-22,1612300
Zhaoqing,肇庆市,Guangdong,direct administration,1988-01-07,644045
Zhongshan,中山市,Guangdong,direct administration,1988-01-07,1000000
Zhuhai,珠海市,Guangdong,direct administration,1979-03-05,1560229
Baise,百色市,Guangxi,direct administration,2002-06-02,1000000
Beihai,北海市,Guangxi,direct administration,1983-10-08,668085
Beiliu,北流市,Guangxi,Yulin,1994-04-18,1000000
Cenxi,岑溪市,Guangxi,Wuzhou,1995-09-11,1000000
Chongzuo,崇左市,Guangxi,direct administration,2002-12-23,1000000
Dongxing,东兴市,Guangxi,Fangchenggang,1996-04-29,1000000
Fangchenggang,防城港市,Guangxi,direct administration,1993-05-23,1000000
Guigang,贵港市,Guangxi,direct administration,1995-10-27,1493874
