"city","population","index","url"
"广州市","11,070,654","1","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"上海市","22,265,426","2","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"北京市","19,295,000","3","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"汕头市","1,346,708","4","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"深圳市","10,357,938","5","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"天津市","11,090,314","6","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"成都市","7,677,122","7","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"东莞市","8,220,937","8","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"杭州市","6,242,000","9","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"武汉市","9,780,644","10","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"沈阳市","6,255,921","11","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"西安市","6,501,189","12","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"南京市","7,165,828","13","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"香港","7,055,071","14","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"重庆市","7,457,589","15","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"泉州市","1,398,427","16","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"温州市","3,039,500","17","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"青岛市","4,814,000","18","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"苏州市","5,349,090","19","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"哈尔滨市","4,517,549","20","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"齐齐哈尔市","1,481,637","21","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"厦门市","3,531,347","22","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"郑州市","4,253,627","23","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"济南市","4,786,800","24","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"南昌市","2,357,838","25","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"大连市","4,087,733","26","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"长沙市","3,093,980","27","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"太原市","3,426,522","28","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"石家庄市","2,861,784","29","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"昆明市","3,583,429","30","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"无锡市","3,542,319","31","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"长春市","3,530,115","32","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"宁波市","3,491,597","33","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"淄博市","2,980,800","34","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"合肥市","3,352,076","35","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"常州市","3,290,548","36","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"台州市","1,902,500","37","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"唐山市","3,187,171","38","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"南通市","2,273,326","39","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"南宁市","3,437,171","40","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"贵阳市","3,037,159","41","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"乌鲁木齐市","3,029,372","42","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"福州市","2,921,763","43","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"淮安市","2,633,420","44","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"徐州市","3,053,778","45","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"临沂市","2,600,200","46","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"兰州市","2,492,325","47","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"扬州市","2,399,079","48","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"惠州市","2,344,507","49","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"鞍山市","1,544,084","50","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"淮北市","1,113,321","51","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"海口市","2,046,189","52","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"义乌市","2,038,400","53","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"包头市","2,070,801","54","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"柳州市","1,436,599","55","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"安阳市","1,146,761","56","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"呼和浩特市","1,980,774","57","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"吉林市","1,975,803","58","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"莆田市","1,953,801","59","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"淮南市","1,666,826","60","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"湘潭市","959,303","61","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"烟台市","1,870,600","62","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"南充市","1,858,875","63","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"洛阳市","1,925,948","64","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"江门市","1,822,640","65","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"南阳市","1,811,732","66","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"保定市","1,157,891","67","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"阜阳市","1,768,947","68","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"泰安市","1,735,500","69","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
"宿州市","1,647,642","70","https://zh.wikipedia.org/wiki/中華人民共和國城市人口排名"
