id,start,end,yummy,healthy,ingredients
0,10/14 08:48,10/14 08:55,8,10,fruits|nuts
1,10/14 13:22,10/14 13:31,5,3,bread
2,10/14 13:33,10/14 13:58,7,8,vegetables|fruits
3,10/14 20:18,10/14 21:15,4,6,salmon
4,10/15 09:08,10/15 09:16,8,9,yogurt
5,10/15 12:15,10/15 12:40,9,8,sandwich|vegetables
6,10/15 17:37,10/15 17:38,10,1,cupcake
7,10/15 20:10,10/15 20:51,9,7,claypot|pork|rice noodles|vegetables
8,10/16 09:15,10/16 09:22,7,9,yogurt|nuts
9,10/16 12:40,10/16 13:11,9,8,octopus
10,10/16 20:46,10/16 21:09,9,7,noodles|beef
11,10/17 11:12,10/17 11:15,5,8,egg|avocado
12,10/17 13:33,10/17 13:44,5,10,rice|beans|vegetables
13,10/17 16:08,10/17 16:31,8,5,chicken|pickles
14,10/18 10:44,10/18 10:49,5,9,yogurt
15,10/18 14:40,10/18 15:27,7,7,vegetables|avocado
16,10/18 21:29,10/18 21:54,5,8,cheese|cracker
17,10/19 09:26,10/19 09:34,4,6,rice|bean
18,10/19 13:35,10/19 13:55,10,10,ramen|pork
19,10/19 19:18,10/19 19:44,8,5,bread|lamb
20,10/20 09:08,10/20 09:14,4,9,yogurt
21,10/20 13:54,10/20 14:02,5,8,vegetables|cheese
22,10/20 20:08,10/20 20:56,8,6,beans|lamb|vegetables
