latitude,longitude
31.2277053095,121.5297088456
31.227782247,121.5298831304
31.2280957243,121.5298308074
31.2283315181,121.5297985516
31.2284817895,121.5297351362
31.2287427194,121.5295750367
31.2288665652,121.5294385054
31.2290812219,121.5291761008
31.2294181252,121.5290483135
31.2296647232,121.5289352934
31.2299246715,121.5289385039
31.2301705797,121.5293796847
31.230350871,121.5298733364
31.2305701017,121.5306015124
31.2306719653,121.5308935034
31.2307923992,121.5312508716
31.2308043949,121.5314393456
31.2308143186,121.5314846111
31.2311242479,121.5315961233
31.2311748932,121.5317233845
31.231293992,121.5320770814
31.2314251997,121.5324409616
31.2316207343,121.532723363
31.2317709867,121.5330046428
31.2320072511,121.5333330402
31.2322298354,121.5335834848
31.2324057424,121.5339228913
31.232586472,121.5338907443
31.2328085372,121.533791624
31.2329783914,121.5336215121
31.2333818082,121.5333124519
31.2335689842,121.5332649257
31.2337226453,121.5337301405
31.2339890312,121.5342781506
31.2343319104,121.5346045172
31.234723373,121.5346165019
31.2348215441,121.5345604134
31.2347893093,121.5345038248
31.2347668829,121.5343971805
31.2347204772,121.5344712531
31.2345253661,121.5346140157
31.2341558619,121.5346373025
31.2337527371,121.5341107439
31.233752613,121.5341105818
31.2337278036,121.534078176
31.2336279185,121.5338583409
31.2336068637,121.5333879907
31.233644282,121.5331164449
31.2334228046,121.533150295
31.2334098286,121.5333043825
31.2332212661,121.5333486619
31.2329621556,121.5333812083
31.2327222648,121.5334967035
31.2325327574,121.5336295689
31.2323869493,121.5337966369
31.2323237716,121.5337961768
31.2321104985,121.5333461117
31.2319607762,121.5330623803
31.2318815085,121.5328669605
31.2316885663,121.5327896234
31.2316059078,121.5326035222
31.2313911309,121.5322656606
31.2311765708,121.5319598635
31.2310394757,121.5319250625
31.2309633194,121.5320591023
31.2309953946,121.5318284477
31.2309819786,121.531667984
31.230875734,121.5313698752
31.2307873916,121.531158116
31.2307001559,121.5309441989
31.2305251652,121.5304223615
31.2303984829,121.5300769479
31.2302650112,121.5297428725
31.2301682821,121.529604482
31.2301903202,121.5298472086
31.2300111045,121.5300052942
31.229952479,121.5302497971
31.230234908,121.5306989074
31.2303838436,121.5307679611
31.2305221591,121.5307664251
31.2305103602,121.5306113429
31.2304716736,121.5305787965
31.2304499584,121.5303437753
31.2303719406,121.5298990843
31.2302857368,121.5294993319
31.230131503,121.5291473341
31.2300047685,121.5289517112
31.2298371368,121.5289077526
31.2295854358,121.5289247414
31.2289811546,121.5291171873
31.2288215162,121.5292472216
31.2287928445,121.5294565104
31.2286468448,121.5295362328
31.2284324452,121.5295093047
31.2282981516,121.5295170903
31.2282981012,121.5298123442
31.228107168,121.5301432786
31.2278932557,121.5301221416
31.2278378557,121.5300960925
31.2276388708,121.5299132233
31.2276392188,121.5298247428
31.2276752942,121.52979766
31.2276785122,121.5297895435
31.2277053095,121.5297088456
