latitude,longitude
40.731008,-73.99777
40.731024,-73.997757
40.731216,-73.998151
40.731207,-73.998221
40.731117,-73.998977
40.731057,-73.999035
40.731009,-73.999017
40.730952,-73.998972
40.730887,-73.998872
40.730842,-73.998761
40.730748,-73.998835
40.730703,-73.998738
40.730642,-73.998788
40.730323,-73.998143
40.730288,-73.998072
40.730255,-73.998005
40.729995,-73.997472
40.729944,-73.997515
40.729889,-73.997402
40.72931,-73.997886
40.728957,-73.997171
40.728927,-73.997108
40.728551,-73.996345
40.728385,-73.996487
40.728253,-73.996602
40.727564,-73.99718
40.727431,-73.997291
40.727301,-73.997396
40.726931,-73.996662
40.726527,-73.995847
40.726133,-73.995057
40.725934,-73.994648
40.725852,-73.994711
40.72515,-73.995285
40.725031,-73.99538
40.72491,-73.995474
